Swimlane ID	Swimlane	SwimLane Fieldname (autogenerated by formular)	Usecase ID	Usecase	Usecase Fieldname (autogenerated by formular)	Count of req per UC	Centers	2 digits centers	Business criticality	Aircraft Phase	Sizing Use Case	Target Epic	Originating Service/Platform	Target Service/Platform	Services/Interfaces required by Target	Capability or Interface	Comment
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC30	Airframe Noise: Wind Tunnel Acoustics Analysis	S3UC30: Airframe Noise: Wind Tunnel Acoustics Analysis	0	1PGA2	1P	Critical	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Compute	External Repos, Data Management	Capability	Seems to be Giseh only postprocessing of wind tunnel results
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC31	CFD post-processing	S3UC31: CFD post-processing	0	1PGA/M	1P	Critical	Current programs & eAction	TRUE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, HPC: Pre/Post	Capability	pre/post/solver for elsA, attention: unsteady CFD generates huge amounts of data, transferring to Giseh takes lots of time, postprocessing hence run on HPC somehow but facing limitations, requires an interactive service on HPC, OpenOnDemand?
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC32	Pass off data management	S3UC32: Pass off data management	0	1PGP5	1P	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Compute	External Repos, Jupyter Notebook	Capability	Interface to FTS+, otherwise standard analysis work
S3	Modeling & Simulation CAE Engineering	S3: Modeling & Simulation CAE Engineering	S3UC33	Acceptance Flights Monitoring	S3UC33: Acceptance Flights Monitoring	0	1PGP5	1P	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Compute	Jupyter Notebook	Capability	PEGASE (PERFSENDER) tool seems to open an interface for exchanging data, otherwise jupyter notebook service required, 
S4	Workflow design and execution	S4: Workflow design and execution	S4UC01	Automated Jenkins Agent Scaling for Simulation Pipelines	S4UC01: Automated Jenkins Agent Scaling for Simulation Pipelines	0	1YC	1Y	Medium	Current programs & eAction	FALSE	DDMS: Workflow				Capability	Jenkins should not be used as a workflow/batch system, instead the Jenkins worker node should submit the test campaign to the batch system
S4	Workflow design and execution	S4: Workflow design and execution	S4UC02	System Performance Regression Testing	S4UC02: System Performance Regression Testing	0	1YV	1Y	Medium	Current programs & eAction	FALSE	OUT OF SCOPE	Windows Laptop	Jenkins	Airbus Artifactory, Single Node Batch	Out Of Scope 	Use case is about a non-regression testing campaign that should rely on batch services but is using jenkins agents to run the tests. Design should be changed to submit batch campaigns from the Jenkins worker node to eliminate the bottleneck
S4	Workflow design and execution	S4: Workflow design and execution	S4UC03	FD&S Airframe Sizing - SiMM ISAMI+ SOFIA	S4UC03: FD&S Airframe Sizing - SiMM ISAMI+ SOFIA	9	1A	1A	High	eAction	TRUE	Giseh	Giseh VDI, Windows Laptop	Windows Laptop: Pre/Post, Giseh VDI: Pre/Post	DMU/Catia, Single Node Batch, SPDM	Capability	Very complex workflow containing manual pre/post steps taking considerable time. A full review is required.
S4	Workflow design and execution	S4: Workflow design and execution	S4UC04	Workflow design	S4UC04: Workflow design	0	1G	1G	High	Current programs & eAction	FALSE	DDMS: Workflow	Windows Laptop, Giseh VDI	DDMS:Workflow		Interface	Be able to design workflows from whatever interface. 
S4	Workflow design and execution	S4: Workflow design and execution	S4UC05	Workflow execution	S4UC05: Workflow execution	0	1G	1G	High	Current programs & eAction	FALSE	DDMS: Workflow, Giseh	Windows Laptop, Giseh VDI	DDMS:Workflow	Single Node Batch, HPC Multi Node Batch	Interface	Be able to launch workflows were start and end points are potentially interfaced with SPDM. Actually, this capability may not even require a login into a Giseh VDI. 
S4	Workflow design and execution	S4: Workflow design and execution	S4UC06	Workflow MDAO	S4UC06: Workflow MDAO	0	1G	1G	High	Current programs & eAction	FALSE	DDMS: Workflow	Windows Laptop, Giseh VDI	DDMS:Workflow	Single Node Batch, HPC Multi Node Batch	Interface	MDAO workflow capability with repository
S4	Workflow design and execution	S4: Workflow design and execution	S4UC07	Contribution to total aircraft noise prediction - Nacelle liners optimization workflow	S4UC07: Contribution to total aircraft noise prediction - Nacelle liners optimization workflow	0	1PGA1	1P	High	Current programs & eAction	FALSE	DDMS: Workflow	Windows Laptop	DDMS:Workflow	Windows Server: Compute, Single Node Batch, HPC Multi Node Batch, SPDM	Interface	This seems to be a workflow involving Giseh and Windows, out of scope for Giseh
S4	Workflow design and execution	S4: Workflow design and execution	S4UC08	EVE Simulation Processing	S4UC08: EVE Simulation Processing	0	1A	1A	High	Current programs & eAction	FALSE	DDMS: Workflow	Windows Laptop	DDMS:Workflow	Single Node Batch, HPC Multi Node Batch, Data Management	Interface	Interesting, this is a custom workflow management tool, but out of scope for Giseh. Eve design could be simplified if SC resources are exposed through REST APIs
S5	Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5: Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5UC01	Design Manager / MDO	S5UC01: Design Manager / MDO	0	1YV	1Y	Medium	Current programs & eAction	FALSE	DDMS: Workflow	Windows Laptop, Giseh VDI	DDMS:Workflow	Single Node Batch, HPC Multi Node Batch, Windows Server: Compute, Data Management	Interface	Many workflow orchestration assumes that they can run stuff on a specific node attributed to the system. This concept is however not compatible with current Giseh Architecture. Goal should be that compute is only launched via API and then a suitable backend is executing the payload. If this concept is not directly supported, we have to use worker nodes that are simply forwarding to an API
S5	Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5: Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5UC02	MDO including DS - Catia/3DX - Geometry Adjustments	S5UC02: MDO including DS - Catia/3DX - Geometry Adjustments	0	1YV/1YL	1Y	High	Current programs & eAction	FALSE	DDMS: Workflow, DMU: CATIA/3DX				Capability	Some orchestrators seem to also include resource management through a pre-allocated pool. The use case behind is usually MDO where using a batch system in-between will slow down the iterations driven by the optimizer. We may have to identify a proper design pattern for tools like that. HPC is not really in scope, too.
S5	Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5: Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5UC03	DFEM based optimization on component & subcomponent level	S5UC03: DFEM based optimization on component & subcomponent level	7	1A	1A	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	Single Node Batch, HPC Multi Node Batch, DMU/Catia	Capability	Pre/post solver workflow with high robustness requirements as the optimization breaks if the solver aborts. 
S5	Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5: Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5UC04	Aerodynamic shape design process	S5UC04: Aerodynamic shape design process	0	1G	1G	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	HPC Multi Node Batch, DMU/Catia	Capability	This is in-fact a workflow involving CATIA but maybe PODShaper is used to avoid having CATIA in the loop
S5	Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5: Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5UC05	High Volume Parallel Jobs DOE	S5UC05: High Volume Parallel Jobs DOE	0	ALL	AL	High	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	Single Node Batch, HPC Multi Node Batch, Data Management	Capability	Large DoE campaign, possible need for better management tooling? 
S5	Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5: Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5UC06	Hole to Hole Uncertainty Quantification and Management - UQ&M	S5UC06: Hole to Hole Uncertainty Quantification and Management - UQ&M	7	1A	1A	Medium	Current programs & eAction	FALSE	DDMS: Workflow	Giseh VDI	Giseh VDI: Pre/Post	Single Node Batch, HPC Multi Node Batch	Capability	Obviously some sort of DoE with signficant capacity requirements, only pain point if lack of capacity and it is R&T
S5	Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5: Design of Experiments DoE and Multi-Disciplinary Analysis & Optimization MDAO studies	S5UC07	MDAO - TACTIC/GEMSEO	S5UC07: MDAO - TACTIC/GEMSEO	0	1P	1P	Critical	Current programs & eAction	FALSE	DDMS: Workflow	Windows Laptop, Giseh VDI	GEMSEO	SPDM, Single Node Batch, HPC Multi Node Batch	Interface	MDO workflow system (Tactic) running on SC and Windows infrastructure
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC01	Surrogate Modelling based on Test/Flight Data	S6UC01: Surrogate Modelling based on Test/Flight Data	0	1YV/1V	1Y	Medium	Current programs & eAction	FALSE	ML Platform	Windows Laptop	Windows Laptop: Pre/Post	Airbus Artifactory, Skywise, AWS: MLOps	Interface	Currently running outside of SC-operated infrastructure
